Alteration Count,Repetition,Behavioral Similarity1,Behavioral Similarity2,Behavioral Similarity3,Behavioral Similarity4,Behavioral Similarity5,Diff
1,1,0.935111549,0.993298644,0.999538927,0.990444389,0.990444389,0.000559515
1,2,0.935111549,0.999613231,0.989603932,0.990444389,0.932596194,0.064427378
1,3,0.999611811,0.989909959,0.989603932,0.97314651,0.996861309,1.42E-06
1,4,0.989909959,0.999538927,0.989909959,0.932596194,0.931513213,0.009628968
1,5,0.989603932,0.989603932,0.935111549,0.932596194,0.932596194,0.010009299
1,6,0.935111549,0.989909959,0.989603932,0.967002724,0.932596194,0.058187095
1,7,0.934552034,0.999611811,0.989603932,0.990444389,0.931513213,0.055357925
1,8,0.999613231,0.935111549,0.999611811,0.991595193,0.967002724,0.065061197
1,9,0.999611811,0.989909959,0.999538927,0.991595193,0.967002724,0.065059777
1,10,0.993298644,0.934552034,0.989909959,0.967002724,0.967002724,0.006313167
1,11,0.935111549,0.934552034,0.993298644,0.991595193,0.980373565,0.064427378
1,12,0.935111549,0.989909959,0.993298644,0.932596194,0.980373565,3.00E-10
1,13,0.993298644,0.999613231,0.935111549,0.991595193,0.991595193,0.006313167
1,14,0.999611811,0.993298644,0.999611811,0.967002724,0.980373565,0.009701852
1,15,0.999538927,0.999613231,0.935111549,0.932596194,0.931513213,0.009934995
1,16,0.999611811,0.999538927,0.999613231,0.932596194,0.990444389,7.29E-05
1,17,0.935111549,0.935111549,0.934552034,0.980373565,0.996861309,0.000559515
1,18,0.989603932,0.999613231,0.989909959,0.980373565,0.931513213,0.009934995
1,19,0.999611811,0.993298644,0.999538927,0.931513213,0.996861309,0.065059777
1,20,0.989603932,0.999613231,0.999538927,0.990444389,0.990444389,0.010007879
1,21,0.999613231,0.993298644,0.934552034,0.967002724,0.97314651,1.42E-06
1,22,0.993298644,0.999613231,0.989909959,0.967002724,0.967002724,0.058187095
1,23,0.934552034,0.934552034,0.989603932,0.980373565,0.932596194,0.065061197
1,24,0.935111549,0.934552034,0.999611811,0.991595193,0.980373565,0.058187095
